customer_id,account_id,age,account_status_id,income_range,gender_id,occupation_id,marital_status_id,state_id,disbursement_amount,financing_term,payment_amount,total_call,call_successful,call_unsuccessful,ptp_count,ptp_broken,ptp_kept,month_in_areas,total_arrears_amount,total_outstanding_amount,current_balance_amount,product_type_category_id
524426,57,55,2,7000,4.0,34.0,2.0,15.0,1860.0,60.0,1330.0,1,0,1,0,0,0,0,0.0,58096.16,71811.8,1
1779841,187,42,2,7000,5.0,30.0,1.0,2.0,38000.0,186.0,626.0,10,0,10,0,0,0,1,710.54,18395.4,18834.47,1
23148,277,40,2,3000,5.0,35.0,2.0,11.0,100000.0,120.0,752.0,2,1,1,1,0,1,0,0.0,65162.8,96208.0,1
2043261,309,39,2,5000,5.0,30.0,2.0,4.0,330.0,369.0,1263.0,12,0,12,1,1,0,2,3275.36,253540.88,795239.87,10
2128543,574,41,2,3000,4.0,1.0,2.0,11.0,15850.0,345.0,506.0,7,3,4,2,1,1,0,32.73,55947.66,84775.58,10
1114486,737,30,2,3000,4.0,1.0,1.0,4.0,92000.0,134.0,184.0,1,0,1,0,0,0,0,0.0,9917.85,13154.73,1
1345600,876,42,2,3000,5.0,35.0,2.0,8.0,100000.0,186.0,148.0,2,0,2,0,0,0,0,0.0,5480.26,6015.5,1
1417567,928,44,2,7000,5.0,30.0,2.0,2.0,20000.0,180.0,864.0,1,0,1,0,0,0,0,0.0,30131.9,33651.0,1
1455142,974,37,2,7000,4.0,10.0,2.0,11.0,55000.0,240.0,1453.0,2,0,2,0,0,0,0,1453.0,131212.75,166875.0,1
1597913,1045,31,2,5000,4.0,21.0,2.0,2.0,4120.0,114.0,416.0,6,2,4,2,2,0,0,396.0,17748.67,19030.4,2
430977,1066,55,2,5000,5.0,26.0,1.0,8.0,70000.0,168.0,993.0,3,0,3,0,0,0,1,1496.18,54071.99,60638.74,1
694236,1196,47,2,5000,4.0,32.0,2.0,16.0,50000.0,136.0,2270.0,8,0,8,0,0,0,1,3432.86,182993.3,267028.36,1
1692445,1273,40,2,7000,5.0,45.0,2.0,10.0,180000.0,396.0,1743.0,9,2,7,2,2,0,1,1744.4,366200.18,1267281.36,10
519057,1809,49,2,9000,4.0,45.0,2.0,12.0,69110.0,240.0,1799.0,4,1,3,1,0,1,0,0.0,277723.43,633410.8,10
815846,1813,43,2,3000,4.0,35.0,2.0,14.0,5340.0,120.0,323.0,2,1,1,0,0,0,0,0.0,27739.66,41228.6,1
1323246,1891,34,2,3000,5.0,30.0,2.0,8.0,162000.0,467.0,315.0,9,1,8,0,0,0,0,305.13,64161.82,222165.63,10
969210,1893,48,2,5000,4.0,30.0,2.0,2.0,5230.0,222.0,718.0,1,0,1,0,0,0,0,0.0,50453.74,59384.73,1
232845,2112,42,2,5000,5.0,26.0,2.0,8.0,47900.0,114.0,702.0,11,1,10,1,0,1,0,700.6,26477.92,29803.4,2
320503,2153,51,2,7000,5.0,45.0,2.0,8.0,42000.0,108.0,1845.0,3,1,2,1,0,1,0,0.0,132773.97,201299.92,1
360912,2177,42,2,3000,5.0,26.0,2.0,14.0,50100.0,120.0,996.0,1,0,1,0,0,0,0,0.0,86567.4,127442.6,1
1452625,2209,37,2,3000,4.0,1.0,2.0,10.0,50000.0,114.0,375.0,4,2,2,2,2,0,0,0.0,25009.26,29206.75,2
688499,2214,55,2,5000,4.0,14.0,2.0,13.0,10880.0,95.0,750.0,1,1,0,1,0,1,0,0.0,39027.38,43463.84,2
354373,2262,42,2,3000,4.0,1.0,1.0,2.0,75000.0,360.0,549.0,3,0,3,0,0,0,0,0.0,59241.92,103553.87,10
1303203,2448,41,2,5000,4.0,12.0,2.0,12.0,3000.0,384.0,1330.0,7,2,5,2,1,1,0,0.0,246837.35,901948.42,10
595956,2609,33,2,5000,4.0,16.0,1.0,6.0,50000.0,360.0,633.0,7,4,3,4,3,1,0,14.01,96298.1,318389.03,10
506772,2680,35,2,7000,4.0,45.0,2.0,3.0,5440.0,120.0,2262.0,1,1,0,1,1,0,0,0.0,181859.85,281942.0,1
1025662,2896,53,2,13000,5.0,30.0,2.0,4.0,86500.0,204.0,1847.0,9,1,8,1,0,1,0,0.0,257128.73,529722.68,10
1494815,2918,32,2,3000,5.0,35.0,2.0,1.0,50000.0,134.0,664.0,2,0,2,0,0,0,0,0.0,41570.17,56548.88,1
383900,2934,41,2,3000,4.0,1.0,2.0,12.0,860.0,140.0,115.0,1,0,1,0,0,0,0,108.51,6862.34,8918.07,1
1223337,2958,28,2,5000,5.0,45.0,2.0,16.0,30000.0,120.0,2049.0,6,0,6,0,0,0,0,0.0,174198.36,261792.6,1
